,author,date,views,likes
3,James K. Thornton,October 2021,427000,12000
5,Rosamund Adoo-Kissi-Debrah,October 2021,422000,12000
13,Lucas Joppa,October 2021,526000,15000
17,Susan Ruffo,October 2021,522000,15000
23,Dan Jørgensen,October 2021,632000,18000
29,Rachel Kyte,October 2021,613000,18000
41,Gabrielle Walker,October 2021,732000,21000
53,Bjørn Otto Sverdrup,October 2021,825000,24000
60,Sophia Kianni,October 2021,861000,25000
73,Jim Hagemann Snabe,October 2021,837000,25000
79,Vishaan Chakrabarti,October 2021,1000000,30000
98,Sister True Dedication,October 2021,1200000,38000
99,Dawn Lippert,October 2021,1000000,32000
107,Shweta Narayan,October 2021,1200000,36000
109,"Xiye Bastida, Shiv Soin and Latif Nasser",October 2021,260000,7800
110,"Al Roker, Al Gore, David Biello and Latif Nasser",October 2021,331000,9900
112,Nemonte Nenquimo,October 2021,1000000,32000
114,John Doerr and Ryan Panchadsaram,October 2021,1200000,36000
121,Jack Dangermond,October 2021,1200000,36000
126,Nili Gilbert,October 2021,1200000,37000
129,Gavin McCormick,October 2021,1300000,39000
132,Naima Penniman,October 2021,1200000,36000
133,Children of Palau,October 2021,205000,6100
134,Derek Sarno,October 2021,1000000,32000
135,Farwiza Farhan,October 2021,1000000,32000
136,Enric Sala,October 2021,1000000,30000
137,Chibeze Ezekiel,October 2021,221000,6600
138,Anil Seth,October 2021,1500000,47000
141,Nicola Sturgeon,October 2021,1200000,38000
150,Al Gore,October 2021,1500000,47000
154,Countdown,October 2021,256000,7700
155,TED,October 2021,6100000,183000
156,Countdown,October 2021,269000,8000
158,Amina J. Mohammed,October 2021,1300000,41000
159,Ilissa Ocko,October 2021,1500000,46000
161,Iseult Gillespie,October 2021,1500000,45000
165,Daniel Sperling and Gil Tal,October 2021,367000,11000
166,Hongqiao Liu,October 2021,1300000,39000
167,Mona Chalabi,October 2021,154000,4600
170,Kim Scott and Trier Bryant,October 2021,1100000,34000
173,Helen Farr and Jon Adams,October 2021,414000,12000
175,Mona Chalabi,October 2021,286000,8500
176,Solomon Goldstein-Rose,October 2021,1400000,42000
177,James Tanton,October 2021,578000,17000
179,Mona Chalabi,October 2021,310000,9300
180,The Hartford,October 2021,132000,3900
181,Dan Kwartler,October 2021,2800000,86000
182,Shu Matsuo Post,October 2021,1100000,34000
183,TED Audio Collective,October 2021,1000000,32000
184,Tzeporah Berman,October 2021,1500000,46000
185,Countdown Summit,October 2021,62000,1800
186,Tanya Boucicaut,October 2021,310000,9300
189,Monica Araya,October 2021,1300000,41000
190,Melati Wijsen,October 2021,1500000,45000
192,Carol Farbotko and Ingrid Boas,October 2021,498000,14000
194,Cindy Solomon,October 2021,1500000,46000
196,Geoff Emberling,October 2021,732000,21000
199,Devin Shuman,October 2021,1500000,47000
201,Amber Hikes,October 2021,1700000,52000
